StateAbbr,StateFull,percball12,percball14,percball16,percball18,percrej12,percrej14,percrej16,percrej18,voters12,voters14,voters16,voters18,regfac12,regfac14,regfac16,regfac18,balfac12,balfac14,balfac16,balfac18,regsyst12,regsyst14,regsyst16,regsyst18,lnpercball12,lnpercball14,lnpercball16,lnpercball18,lnpercrej12,lnpercrej14,lnpercrej16,lnpercrej18,lnvoters12,lnvoters14,lnvoters16,lnvoters18,voters12mill,voters14mill,voters16mill,voters18mill,absball12,absball14,absball16,absball18,absrej12,absrej14,absrej16,absrej18,perctranspost18,perctransemail18,perctransother18,emailballot18,postret18,emailret18,otherret18
IN,Indiana,12.19184769343422,9.737827715355806,8.773166800966962,20.12252591894439,20.58373870743572,7.219917012448132,1.965330683449266,1.563421828908555,4562268,4587021,4839038,4500196,2,2,3,4,1,1,2,3,Top-Down,Top-Down,Top-Down,Top-Down,2.5007675,2.2760181,2.1716979,3.0018399,3.0245013,1.9768435,.67566049,.44687691,15.33333,15.338741,15.392226,15.319632,4.5599999,4.5900002,4.8400002,4.5,.66000003,.88999999,.25999999,.55000001,2.1400001,2.48,.22,.44999999,15.834119,74.387367,9.778511,1,24.306786,75.604721,.088495575
KS,Kansas,5.620287868403016,18.81656804733728,15.90703971119134,10.3448275862069,5.688695231178891,1.749271137026239,1.234236651462302,.5197505197505198,1771252,1747792,1785834,1835473,1,1,1,3,1,1,2,3,Top-Down,Top-Down,Top-Down,Top-Down,1.7263829,2.9347377,2.7667618,2.3364866,1.7384809,.55919921,.21045268,-.65440637,14.387197,14.373864,14.395396,14.422812,1.77,1.75,1.79,1.84,30.18,11.96,8.8100004,9.8500004,3.6400001,1.8200001,2.4300001,1.09,9.6743746,90.231239,.094384141,1,,,
KY,Kentucky,12.9193109700816,35.63025210084034,45.8777633289987,42.79578289730574,8.094742321707445,10.18276762402089,4.300816914944738,13.24232081911263,3037153,3147100,3306120,3402905,3,2,2,3,1,1,1,2,Top-Down,Top-Down,Top-Down,Top-Down,2.5587232,3.573195,3.8259804,3.7564397,2.0912147,2.3206968,1.458805,2.5834179,14.926431,14.961992,15.011286,15.04014,3.04,3.1500001,3.3099999,3.4000001,0,6.79,10.36,11.94,5.3800001,6.1500001,5.6300001,7.02,15.657947,81.140182,3.2018743,0,94.470993,,5.5290103
LA,Louisiana,35.48604557098557,83.8405036726128,41.964408883984,77.37550284366765,4.284221525600835,6.40074211502783,6.346565248395532,9.564684242795831,2965751,2935692,3058741,2992170,3,3,3,4,2,2,1,3,Top-Down,Top-Down,Top-Down,Top-Down,3.5691395,4.4289165,3.7368219,4.34867,1.4549389,1.856414,1.8479137,2.2580776,14.902641,14.892454,14.933514,14.91151,2.97,2.9400001,3.0599999,2.99,21.73,29.790001,21.51,32.830002,5.4299998,6,3.8,5.9099998,20.529894,79.386879,.083229296,1,83.077866,2.0232985,14.898835
MA,Massachusetts,17.66446395107999,28.87231241772707,17.2111248349589,17.88859307802581,.5031145184475324,.6785934608266502,.9517440065850397,.6609302905599201,4340000,4301118,4534974,4574967,1,1,1,2,3,3,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.8715549,3.3628831,2.845556,2.8841631,-.68693745,-.38773307,-.049459182,-.41410691,15.283385,15.274385,15.32733,15.33611,4.3400002,4.3000002,4.5300002,4.5700002,8.2299995,9.0699997,10.74,15.19,.95999998,.93000001,3.3,5.8299999,10.086013,89.125534,.7884497,1,9.2779646,89.824165,.89786756
MD,Maryland,15.24936998183203,44.27480916030535,25.11005380408199,31.99795081967213,11.23020537998755,9.208523592085236,7.623797648735304,2.968208527949375,3694658,3701666,3900090,3954027,3,3,3,3,2,2,2,2,Top-Down,Top-Down,Top-Down,Top-Down,2.7245381,3.7904158,3.2232683,3.4656718,2.418607,2.2201295,2.0312746,1.0879586,15.122398,15.124293,15.17651,15.190245,3.6900001,3.7,3.9000001,3.95,12.46,19.07,22.110001,22.23,1.08,1.3,1.49,1.76,22.049181,.35860655,77.592216,0,51.71011,,48.28989
ME,Maine,25.51908908238446,22.25461613216715,12.38332296204107,20.27027027027027,7.943645083932855,3,3.977272727272727,2.976436544026457,1026086,1014674,1065100,1057967,2,2,2,3,1,0,0,2,Top-Down,Top-Down,Top-Down,Hybrid,3.2394269,3.1025496,2.5163507,3.0091553,2.0723722,1.0986123,1.3805964,1.0907269,13.841262,13.830078,13.878579,13.87186,1.03,1.01,1.0700001,1.0599999,3.2,3.8900001,2.26,4.0300002,1.15,1.03,.95999998,1.14,14.07383,85.92617,,1,30.384457,69.615547,
MI,Michigan,20.37917439703154,23.69291859695566,21.77157689811811,24.64293561854538,7.522027233670721,2.65972824515756,2.559696628547727,1.589152937746027,7454553,7446280,7514055,7471088,1,1,2,3,0,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,3.0145135,3.1651762,3.0806053,3.2044902,2.0178356,.97822398,.93988878,.46320114,15.824335,15.823225,15.832286,15.826551,7.4499998,7.4499998,7.5100002,7.4699998,2.9100001,7.2399998,6.1199999,5.48,.63999999,.63,.49000001,.56999999,31.564491,67.578552,.85695451,1,31.739321,67.298439,.96223938
MN,Minnesota,16.6251282803108,35.81865867366055,23.34821147922298,28.36595142655034,7.631440126604537,6.538237011091653,7.799557122939392,12.68926925608953,3387783,3197751,3473972,3422515,1,2,2,4,1,1,2,3,Top-Down,Top-Down,Top-Down,Top-Down,2.8109152,3.578469,3.1505203,3.3451896,2.0322766,1.8776675,2.0540669,2.5407567,15.035686,14.977959,15.060809,15.045886,3.3900001,3.2,3.47,3.4200001,4.3200002,17.110001,7.54,11.3,2.9300001,2.01,.91000003,1.17,10.575336,89.424667,0,1,9.874918,90.125084,0
MO,Missouri,14.37942344208528,40.76281287246722,26.17639269003266,34.67222432739674,3.860887096774194,2.716297786720322,1.638364027744559,6.351508120649651,4191778,4090939,4215860,4127333,1,2,2,2,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.6657982,3.7077701,3.264858,3.545939,1.350897,.99926984,.49369821,1.8486923,15.248635,15.224285,15.254364,15.233142,4.1900001,4.0900002,4.2199998,4.1300001,4.5900002,6.3899999,4.7399998,5.2800002,1.97,1.83,2.0999999,2.1800001,22.546419,40.526714,36.926865,1,,,
MS,Mississippi,15.09580528223718,45.77464788732394,38.56018653453804,29.8841059602649,3.110704483074108,2.597402597402597,.9013282732447818,0,1399209,1484859,2072395,2079732,3,3,3,3,1,3,3,3,Hybrid,Hybrid,Hybrid,Bottom-Up,2.714417,3.8237305,3.6522202,3.3973267,1.1348492,.95451194,-.10388575,,14.151418,14.210831,14.544215,14.54775,1.4,1.48,2.0699999,2.0799999,5.8699999,8.96,5.9400001,8.3500004,3.4100001,2.53,1.53,.75,0,100,0,1,0,70.115891,0
