StateAbbr,StateFull,percball12,percball14,percball16,percball18,percrej12,percrej14,percrej16,percrej18,voters12,voters14,voters16,voters18,regfac12,regfac14,regfac16,regfac18,balfac12,balfac14,balfac16,balfac18,regsyst12,regsyst14,regsyst16,regsyst18,lnpercball12,lnpercball14,lnpercball16,lnpercball18,lnpercrej12,lnpercrej14,lnpercrej16,lnpercrej18,lnvoters12,lnvoters14,lnvoters16,lnvoters18,voters12mill,voters14mill,voters16mill,voters18mill,absball12,absball14,absball16,absball18,absrej12,absrej14,absrej16,absrej18,perctranspost18,perctransemail18,perctransother18,emailballot18,postret18,emailret18,otherret18
OK,Oklahoma,13.3622624569804,82.84153005464481,34.47721962616823,69.77451682176091,5.457685664939551,5.222929936305733,5.215065745486962,3.433984606275903,2114489,2022456,2157450,2120843,2,2,2,3,2,2,2,2,Hybrid,Hybrid,Hybrid,Hybrid,2.5924344,4.4169297,3.5402987,4.2452688,1.6970248,1.6530585,1.6515517,1.2337213,14.564323,14.519823,14.584437,14.567325,2.1099999,2.02,2.1600001,2.1199999,15.64,25.84,17.059999,26.26,3.0999999,2.73,2.9100001,4.5,23.031496,,76.968506,0,76.376556,,23.623446
OR,Oregon,34.34478904721989,67.00600365439833,23.4201420506283,51.74718350200497,2.076772491275853,1.766877637130802,1.91042409829568,2.189684738161192,2199360,2174763,2553810,2748232,2,2,2,2,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,3.5364504,4.204782,3.1535964,3.9463699,.73081499,.56921393,.64732528,.78375757,14.603677,14.59243,14.753097,14.826468,2.2,2.1700001,2.55,2.75,27.51,3.3,19.67,33.310001,2.3,.69999999,.86000001,.0099999998,,,,1,61.865189,29.178209,8.9566021
PA,Pennsylvania,30.73438904640066,63.58365543898399,24.50304797243573,73.65436893203884,1.881894873458793,1.971190295678544,2.747059856064595,11.29127358490566,8352342,8072589,8722975,8607748,0,1,2,4,1,1,1,2,Top-Down,Top-Down,Top-Down,Top-Down,3.4253821,4.1523566,3.1987975,4.2993836,.63227916,.67863756,1.0105312,2.4240301,15.938052,15.903985,15.981471,15.968173,8.3500004,8.0699997,8.7200003,8.6099997,12.11,9.8900003,8.8900003,9.5200005,.74000001,2.72,.94999999,4.4499998,33.180584,66.81942,,0,,,
RI,Rhode Island,33.21799307958477,26.92307692307692,19.50399327448508,,.1727115716753022,0,0,,725309,752051,754065,781478,1,1,2,3,1,1,1,2,Hybrid,Hybrid,Hybrid,Top-Down,3.5030916,3.2929838,2.9706192,,-1.7561322,,,,13.494353,13.53056,13.533234,13.568942,.73000002,.75,.75,.77999997,9.8900003,12.38,6.9299998,14.16,1.33,2.76,2.6700001,2.8499999,,,,0,,,
SC,South Carolina,22.33467510063255,32.11822660098522,20.37595729867719,26.64266426642664,.3702058344439508,.7256894049346879,.6120664529291752,.49079754601227,2875121,2881293,3157027,3538580,1,2,2,4,1,1,1,2,Top-Down,Top-Down,Top-Down,Top-Down,3.1061404,3.4694238,3.0143557,3.2825139,-.99369609,-.32063317,-.4909144,-.71172357,14.871605,14.87375,14.965141,15.079236,2.8800001,2.8800001,3.1600001,3.54,3.1700001,3.73,2.1800001,9.1800003,.16,.34,.57999998,3.0999999,16.471647,80.738075,2.7902789,0,,,
SD,South Dakota,20.20854021847071,29.76827094474153,30.14335528864781,12.29885057471264,5.600497822028625,3.553299492385787,5.934553521907931,1.834862385321101,523410,563201,595322,594453,1,1,2,2,1,1,1,3,Bottom-Up,Top-Down,Top-Down,Top-Down,3.0061052,3.3934431,3.4059646,2.5095057,1.7228554,1.2678766,1.7807918,.60696948,13.16812,13.241392,13.296858,13.295397,.51999998,.56,.60000002,.58999997,2.1500001,2.21,.67000002,2.5699999,.2,.31,.34,.34,18.620689,80.229881,1.1494253,1,27.785059,72.214943,0
TN,Tennessee,17.89507154213037,36.09523809523809,21.11827956989247,22.93515358361775,5.909689412129192,3.651266766020864,4.334787350054525,5.070859167404783,4024960,3975587,4110318,4163359,1,1,1,3,0,1,1,2,Bottom-Up,Bottom-Up,Bottom-Up,Bottom-Up,2.8845253,3.5861609,3.050139,3.1326709,1.7765933,1.2950742,1.4666725,1.6235102,15.208026,15.195683,15.229011,15.241833,4.02,3.98,4.1100001,4.1599998,7.3699999,10.25,9.2399998,8.8400002,1.11,.67000002,1.1,2.1500001,19.675768,80.324234,,0,77.06485,,
TX,Texas,45.94287044340709,45.17740706241003,30.43731688985013,33.61545480288204,9.353171945268397,8.248378127896199,6.820286659316428,7.175695530593868,13690729,14020405,14382387,15615925,1,1,1,3,1,1,1,3,Hybrid,Hybrid,Hybrid,Hybrid,3.8273988,3.8105972,3.4156694,3.514986,2.2357156,2.1100166,1.9199015,1.9706997,16.43223,16.456024,16.481514,16.563803,13.69,14.02,14.38,15.62,6.3499999,14.03,9.9799995,14.38,1.54,1.47,1.75,1.61,30.52276,59.369278,10.107962,1,90.986313,8.9815407,.032142527
UT,Utah,29.86407766990291,57.78750540423692,44.76217847391867,59.35074100211715,,9.985917296120855,4.578563995837669,1.302083333333333,1508372,1485705,1577069,1658457,2,2,2,3,1,1,1,3,Top-Down,Top-Down,Top-Down,Hybrid,3.3966563,4.0567727,3.8013635,4.0834646,,2.3011758,1.5213854,.26396555,14.226542,14.2114,14.271079,14.321398,1.51,1.49,1.58,1.66,22.57,50.880001,29.110001,33.84,1.0700001,.85000002,.91000003,.89999998,46.770561,53.135563,.093879081,1,8.2036772,51.438,40.358322
VA,Virginia,16.37249300899059,8.17910447761194,18.68116927260367,25.42750225001184,1.650366748166259,7.932379713914174,6.320013375689684,9.445467826970717,5428091,5280744,5604106,5666627,2,2,2,4,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,2.7956026,2.1015828,2.927516,3.2358313,.50099754,2.0709531,1.8437213,2.2455351,15.507098,15.479578,15.53901,15.550104,5.4299998,5.2800002,5.5999999,5.6700001,4,4.3800001,5.5100002,5.3099999,.54000002,.49000001,.57999998,2.1199999,23.742895,70.291016,5.9660883,1,24.0508,67.843605,8.1055918
VT,Vermont,82.63816475495308,8.893709327548807,4.08975750995295,11.17886178861789,6.906906906906906,2.142857142857143,4.867924528301887,9.229595728451564,460817,444199,472289,489385,1,1,3,3,1,1,1,2,Top-Down,Top-Down,Top-Down,Hybrid,4.4144716,2.1853442,1.4084857,2.4140246,1.9325219,.76214004,1.5826677,2.2224152,13.040756,13.004028,13.065347,13.100904,.46000001,.44,.47,.49000001,4.4099998,3.23,,6.1300001,.69,.98000002,,2.8199999,17.910448,82.089554,,0,88.60244,,
WA,Washington,34.50257739063318,71.87159550494724,43.3203952710062,56.35532448906419,1.100566065528924,1.400679117147708,2.19415474381147,1.506982953378517,3904959,3922378,4872385,4841431,2,2,2,4,1,1,1,3,Hybrid,Hybrid,Hybrid,Bottom-Up,3.541034,4.2748814,3.7686236,4.0316768,.095824651,.33695722,.78579688,.41010961,15.177758,15.182209,15.399095,15.392721,3.9000001,3.9200001,4.8699999,4.8400002,18.059999,45.110001,22.709999,30.23,.94999999,1.26,.91000003,1.04,77.395569,22.604427,0,1,63.0802,26.050011,10.869788
WI,Wisconsin,20.7822808671065,34.68834688346883,28.37239442704396,32.46485473289597,28.43545508625818,5.477178423236515,.6483715319662244,9.103524840410769,3987248,3801533,3768373,3442004,0,2,2,3,1,1,1,2,Hybrid,Hybrid,Hybrid,Top-Down,3.0341008,3.5464039,3.3454165,3.4801581,3.3476367,1.7005901,-.43329141,2.2086618,15.198612,15.150915,15.142154,15.051564,3.99,3.8,3.77,3.4400001,6.6900001,2.3599999,11.87,11.18,.60000002,.40000001,.2,1.6900001,,,,0,,,
WV,West Virginia,28.41269841269841,32.91139240506329,23.4698370761779,14.38763376932224,,2.515723270440252,1.208285385500575,.9722222222222222,1246559,1213759,1254768,1245827,1,2,2,2,1,1,1,3,Top-Down,Top-Down,Top-Down,Top-Down,3.3468361,3.4938188,3.1557162,2.666369,,.92256033,.18920232,-.028170876,14.035897,14.009233,14.042461,14.03531,1.25,1.21,1.25,1.25,9.0699997,9.3299999,8.7399998,14.27,.19,1.1799999,2.72,1.01,28.418549,51.129608,20.451843,1,28.75,49.722221,21.527779
WY,Wyoming,20.15625,45.37205081669691,22.11703958691911,27.24077328646748,3.261578604044357,3.322259136212625,2.320441988950277,6.038647342995169,240438,264930,284203,283941,1,1,1,2,1,1,1,2,Top-Down,Top-Down,Top-Down,Top-Down,3.0035145,3.8148963,3.0963483,3.3047149,1.1822113,1.200645,.84175766,1.79818,12.390218,12.487221,12.557444,12.556521,.23999999,.25999999,.28,.28,2.6800001,4,3.2,3.02,.27000001,.69,.23,.40000001,,,,0,72.759224,,
